Date,Close/Last,Volume,Open,High,Low
07/27/2020,169.11,6146734,170.25,170.30,168.99
07/24/2020,169.74,7520837,169.01,169.92,168.8695
07/23/2020,169.75,10471800,168.92,169.88,168.48
07/22/2020,167.79,6592084,168.26,168.46,167.69
07/21/2020,167.29,8455112,167.30,167.72,167.075
07/20/2020,167.19,6907518,167.51,167.62,166.80
07/17/2020,166.78,8550164,167.27,167.40,166.47
07/16/2020,167.13,9107383,167.40,167.77,167.04
07/15/2020,166.34,7840586,165.92,166.945,165.8291
07/14/2020,167.12,11344640,167.93,168.14,166.98
07/13/2020,166.88,8054011,165.50,166.96,165.23
07/10/2020,166.33,8478375,167.95,168.21,166.16
07/09/2020,167.17,13373100,164.66,167.45,164.60
07/08/2020,164.55,7253883,164.32,164.92,163.83
07/07/2020,165.21,12791950,163.42,165.34,163.20
07/06/2020,162.92,7972668,162.33,163.02,161.75
07/02/2020,163.59,7599940,162.70,163.74,162.24
07/01/2020,163.42,13181260,162.81,163.56,162.15
06/30/2020,163.93,14841680,165.23,165.29,163.48
06/29/2020,164.73,7274571,164.85,165.27,164.38
06/26/2020,165.25,12119310,164.25,165.32,164.18
06/25/2020,163.50,10967980,164.21,164.35,163.40
06/24/2020,163.03,11436500,161.53,163.09,161.52
06/23/2020,161.30,9088580,161.48,162.06,161.12
06/22/2020,162.41,9319961,163.19,163.4184,162.07
06/19/2020,162.39,8565778,161.00,162.50,160.91
06/18/2020,162.26,7691375,162.04,162.48,161.61
06/17/2020,160.56,7113900,160.27,160.77,159.34
06/16/2020,159.90,13701300,159.41,161.23,158.70
06/15/2020,162.39,7760836,163.89,164.22,162.14
06/12/2020,162.30,9716433,162.41,163.66,162.05
06/11/2020,163.88,17086370,163.245,164.23,162.63
06/10/2020,160.84,13135520,159.24,160.90,159.05
06/09/2020,158.49,9095265,159.05,159.64,158.30
06/08/2020,156.71,10346680,155.07,156.85,155.05
06/05/2020,156.11,17778550,154.61,156.16,153.16
06/04/2020,157.23,14038570,158.92,159.01,157.185
06/03/2020,159.54,12255740,160.18,160.33,158.94
06/02/2020,161.69,11517050,161.67,162.093,161.25
06/01/2020,162.28,13353300,162.10,162.44,161.67
05/29/2020,163.59,14662050,162.71,164.09,162.355
05/28/2020,162.43,10276170,161.96,162.57,161.66
05/27/2020,163.03,8047360,162.785,163.91,162.59
05/26/2020,163.33,8098939,163.71,163.79,162.975
05/22/2020,165.55,4956814,164.72,165.68,164.61
05/21/2020,164.56,8920309,164.86,165.36,164.29
05/20/2020,164.15,10927270,163.17,164.70,162.88
05/19/2020,163.66,8639263,162.52,163.70,162.48
05/18/2020,163.05,10073990,164.93,165.055,162.42
05/15/2020,166.71,7225634,168.30,168.49,166.33
05/14/2020,167.14,10080360,167.32,168.15,167.05
05/13/2020,165.52,13305580,165.09,166.29,164.8272
05/12/2020,164.37,10057350,163.16,164.93,163.13
05/11/2020,162.70,8713747,163.66,164.22,162.095
05/08/2020,163.98,8130474,164.49,165.40,163.68
05/07/2020,166.14,9165455,163.56,166.37,163.34
05/06/2020,163.41,14721520,163.23,163.64,162.05
05/05/2020,166.09,7831916,165.57,166.27,165.27
05/04/2020,167.16,8300923,167.56,167.68,166.48
05/01/2020,167.95,10209420,167.50,168.11,166.44
04/30/2020,166.74,11606070,168.74,169.23,166.71
04/29/2020,168.71,8619566,169.53,170.26,167.96
04/28/2020,169.59,9905415,168.55,169.85,168.45
04/27/2020,167.66,9039484,169.66,169.75,167.44
04/24/2020,170.84,6211804,169.61,170.84,169.57
04/23/2020,170.44,5968584,169.87,170.93,169.605
04/22/2020,169.54,6230495,169.97,170.39,168.705
04/21/2020,171.29,7850725,171.93,172.15,170.78
04/20/2020,169.16,6462639,168.44,169.29,167.96
04/17/2020,167.81,8612119,169.82,170.84,167.27
04/16/2020,170.09,8265414,169.26,170.315,169.0156
04/15/2020,168.18,10027750,166.80,168.60,166.74
04/14/2020,163.84,9019531,163.84,164.74,163.48
04/13/2020,163.88,8750297,164.75,165.71,163.88
04/09/2020,165.39,14260810,164.28,165.79,163.78
04/08/2020,165.09,10147080,165.11,166.19,164.13
04/07/2020,166.30,13811850,164.96,166.42,163.71
04/06/2020,168.06,9434786,167.00,168.27,166.53
04/03/2020,168.50,6570840,168.55,170.33,168.14
04/02/2020,168.10,5771227,168.83,169.22,167.26
